City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nikolskoye,90,RU,1570654851,93,59.7,30.79,41.0,2.24
Atuona,25,PF,1570654851,69,-9.8,-139.03,78.87,5.44
Dhemaji,73,IN,1570654852,93,27.48,94.56,70.27,3.77
Lethem,53,GY,1570654852,49,3.38,-59.8,90.5,3.27
Busselton,6,AU,1570654852,80,-33.64,115.35,57.99,0.89
Maragogi,15,BR,1570654853,78,-9.01,-35.22,78.1,16.86
Port Lincoln,11,AU,1570654853,90,-34.72,135.86,51.21,9.15
Pevek,100,RU,1570654853,84,69.7,170.27,28.15,10.26
Port Alfred,100,ZA,1570654854,95,-33.59,26.89,53.01,4.0
Hilo,1,US,1570654854,48,19.71,-155.08,87.8,8.05
Belmonte,0,PT,1570654854,45,40.36,-7.35,60.01,2.73
Port Elizabeth,90,US,1570654855,87,39.31,-74.98,59.0,10.29
Ushuaia,75,AR,1570654855,52,-54.81,-68.31,48.2,5.99
Bijie,99,CN,1570654856,92,27.3,105.3,54.64,2.95
Susanville,1,US,1570654856,25,40.42,-120.65,51.8,8.05
Kaitangata,100,NZ,1570654856,92,-46.28,169.85,46.99,17.0
Vaini,48,IN,1570654857,93,15.34,74.49,68.79,0.73
Karpogory,100,RU,1570654857,90,64.0,44.44,35.37,10.31
Ukiah,1,US,1570654858,9,39.15,-123.21,71.01,3.36
Rikitea,78,PF,1570654858,64,-23.12,-134.97,69.35,6.9
Beringovskiy,0,RU,1570654859,63,63.05,179.32,32.77,10.65
Lagoa,0,PT,1570654859,68,37.14,-8.45,72.0,3.36
Bandar-e Lengeh,0,IR,1570654860,82,26.56,54.88,86.2,13.35
New Norfolk,75,AU,1570654860,81,-42.78,147.06,48.2,5.82
Port Macquarie,40,AU,1570654860,87,-31.43,152.91,59.0,5.82
Ocampo,0,MX,1570654861,33,27.32,-102.4,82.27,10.17
Iqaluit,75,CA,1570654862,86,63.75,-68.52,37.4,12.75
Rocha,76,UY,1570654863,74,-34.48,-54.34,66.99,7.18
Ribeira Grande,40,PT,1570654863,68,38.52,-28.7,68.0,13.87
Severo-Kurilsk,88,RU,1570654864,94,50.68,156.12,41.5,3.98
Banganapalle,100,IN,1570654864,84,15.32,78.23,75.51,4.42
